name,ET
how to ,how to
hello,greeting
hi,greeting
hi there,greeting
hey,greeting
greetings,greeting
yo,greeting
howdy,greeting
morning,greeting
afternoon,greeting
evening,greeting
night,greeting
bye,bye
been while,been while
how are you,how are you
hello how are you, how are you
hi how are you,how are you
hey how are you,how are you
greetings how are you,how are you
yo how are you,how are you
howdy how are you,how are you
okay,how are you response
fine,how are you response
i am great,how are you response
not bad,how are you response
I'm okay,how are you response
I'm alright,how are you repsonse
well,how are you response
same old same old,how are you response
i am great thanks how are you,how are you response
good thanks how are you,how are you repsonse
blackjack,play blackjack
play blackjack,play blackjack
pontoon,play blackjack
twenty one,play blackjack
21,play blackjack
guessing game,play guessing game
number guess game,play guessing game
rock paper scissors,play rps
play game,play game
lets play a game,play game
let play a game,play game
random wikihow,random wikihow article
give random wikihow article,random wikihow article
wikihow article,random wikihow article
random one,random wikihow article
search wikihow article,search wikihow
rps,play rps
tell me joke,tell joke
how about a joke,tell joke
something funny,tell joke
make me laugh,tell joke
i dare you to make me laugh,tell joke
shoot with joke,tell joke
tell me a joke,tell joke
tell me riddle,tell riddle
how about a riddle,tell riddle
shoot with riddle,tell riddle
tell me a riddle,tell riddle
give me brain teaser,tell riddle
lets play trivia,play trivia
give me question,play trivia
question me,play trivia
let play pub quiz,play trivia
how about trivia quiz,play trivia
test knowledge,play trivia
trivia time,play trivia
round of trivia,play trivia
want to play trivia,play trivia
quiz,play trivia
quit,quit
exit trivia,quit
enough trivia,quit
had enough trivie,quit
no more trivia,quit
stop trivia,quit
exit pub quiz,quit
enough pub quiz,quit
had enough pub quiz,quit
no more pub quiz,quit
stop pub quiz,quit
exit quiz,quit
enough quiz,quit
had enough quiz,quit
no more quiz,quit
stop quiz,quit
open wiki game,wiki game
wiki game,wiki game
lets play the wiki game,wiki game
lets play wikipedia race,wiki game
wikirace,wiki game
play wikirace,wiki game
wikispeedia,wiki game
play wikispeedia,wiki game
wikiladder,wiki game
wikiclick,wiki game
wikiwhack,wiki game
play wiki game,wiki game
play wikipedia race,wiki game
give me fact,fact
fun fact,fact
give me fun fact,fact
tell me interesting fact,fact
give random fact,fact
share fun fact,fact
provide me with fact,fact
tell me some dont know,fact
Fascinate me fact,fact
impress me with fact,fact
educate me with fact,fact
drop fact,fact
hit me with fact,fact
xkcd,xkcd
show me funny comic,xkcd
funny comic,xkcd
show something funny,xkcd
xkcd funny,xkcd
play akinator,akinator
open akinator,akinator
let play game akinator,akinator
what game you know,list games
list game,list games
list games you know,list games
tell me games you familiar with,list games
what choices i have,list games
what games you know,list games
what akinator,describe akinator
what wiki game,descrive wiki game
bye,bye
bye bye,bye
see you later,bye
got to go,bye
goodbye,bye
nice chatting,bye
until next time,bye
nice talk,bye
I'm off,bye
cheerio,bye
catch you later,bye
thank you,thank
great thanks,thanks
thanks,thank
that's helpful,thank
awesome thanks,thank
thanks for help,thank
appreciate it,thank
thanks for that,thank
much obliged,thank
set pass code,set passcode
set password,set passcode
change passcode,set passcode
facotry reset,factory reset
reset factory setting,factory reset
reset yourself factory reset,factory reset
reset to default setting,factory reset
reset factory default,factory reset
clear all memory setting,factory reset
what passcode,what is passcode
what weather now,current weather
what current weather like,current weather
currect weather,current weather
what weather like,current weather
weather now,current weather
current weather,current weather
weather tomorrow,weather tomorrow
what weather like tomorrow
what weather tomorow,weather tomorrow
tomorrow weather,weather tomorrow
weather on ,weather day
what is the weather like on ,weather day
play youtube video,choose youtube video
what my name,users name
tell my name,users name
give advice,advice
tell advice,advice
advice,advice
many questions you know,question amount
many questions in knowledge,question amount
size of question data,question amount
total number questions know,questions amount
many questions you know,questions amount
chewie,chewie
wax on,wax on
i get you pretty,wizard of oz
mama says,mama says
roads,roads
i your father,father
where is everyone joan,rd1
who is,rd2
captain hollister,rd3
tod hunger,rd4
todhunter,rd4
selby,rd5
perterson,rd6
chen,rd7
rimmer,rd8
wait try tell everybody dead,rd9
who are you,who are you
tell who are you,who are you
what call you,call bot
why give name,why named
why Joan,why named
love me,love user
are robot,robot
are humna,human
change your name,change bot name
are you real,real or not
where are you,where
where you be,where
what you do night,last night
what you do,what doing
what you want,what next
do collect any,collection
you hobby,bot hobby
can talk,talk request
have question,question bot
say something,something
wasn't talk you,not talking bot
not talk you,not talking bot
wasn't direct you,not talking bot
will live forever,bot live forever
what you favourite,bot favourite
who create you,created
what gender you are,gender
are you male,gender
are you female,gender
what verion you,bot version
version,version
what thinking,user thinking
what know about me,knowledge about user
time,time
what time is it,time
what is the time,time
tell me time,time
current time,time
time right now,time
need know time,time
could give time,time
have current time,time
time at moment,time
what is the date,date
what today date,date
could tell current date,date
need today date,date
date,date
day,day
what day is it,day
what day,day
day today,day
current day,day
tell what day,day
what month is it,month
month,month
tell month,month
what month,month
what year,year
tell me year,year
current year,year
weather monday,weather monday
weather tuesday,weather tuesday
weather wednesday,weather wednesday
weather thrusday,weather thrusday
weather friday,weather friday
weather saturday,weather saturday
weather sunday,weather sunday
weather in hour,weather hour
tell weather in hour,weather hour
weather one hour,weather hour
when did  movie release,movie release
what rating of ,movie rate
what is the run time of ,movie runtime
what genre is ,movie genre
genre of ,movie genre
who is the director for ,movie director
who directed ,movie director
who wrote ,movie writer
who is the writer for ,movie writer
who acted in ,movie actor
actor for ,movie actor
