text,sentiment
okay,positive
one more,positive
few more,positive
yes,positive
yes please,positive
continue,positive
okay sure,positive
next,positive
sure why not,positive
url,positive
description,positive
open url,positive
y,positive
n,negative
yeah,positive
yep,positive
absolutely,positive
definitely,positive
certainly,positive
affirmative,positive
for sure,positive
indeed,positive
of course,positive
without a doubt,positive
sure thing,positive
i suppose so,positive
its possible,positive
i'm leaning towards yes,positive
I'm open to it,positive
I'm afraid not,negative
positively,positive
assuredly,positive
unquestionably,positive
naturally,positive
without question,positive
most certainly,positive
undoubtedly,positive
absolutely yes,positive
aye,positive
absolutely by all means,positive
indeed so it is,positive
verily,positive
by the gods yes,positive
I swear it,positive
with great conviction,positive
without hesitation,positive
in full agreement,positive
beyond a shadow of a doubt,positive
no,negative
no thanks,negative
nope,negative
nah,negative
negative,negative
not at all,negative
no more,negative
definitely not,negative
certainly not,negative
absolutely not,negative
I'm afraid not,negative
I'm not sure,negative
I'm leaning towards no,negative
I'm not entirely certain,negative
no way,negative
never,negative
not really,negative
not necessarily,negative
not likely,negative
unlikely,negative
enough,negative
dont show,negative
dont show context,negative
dont show game,negative
not interested,negative
enough now,negative
impossible,negative
not a chance,negative
under no circumstances,negative
by no means,negative
definitely no,negative
nay,negative
not at all my friend,negative
alas no,negative
no thank you,negative
regretfully no,negative
against my better judgment,negative
I must decline,negative
not show,negative
forbidden it is,negative
the fates decree otherwise,negative
alright that enough,negative
I cannot in good conscience,negative
pass,negative
dont know,negative
unsure,negative
tell me,negative
no idea,negative
im stumped,negative
skip question,negative
clueless,negative
completely blank,negative
I don't know,negative
dont remember,negative
interesting but I don't know,negative
am clueless this one,negative
